time 	x0 	y0 	psi 	u 	v 	heave 	trim 	roll 	z_VF 	z_VA 	n 	T_p 	Qp 	drud 	Xrud 	Yrud 	Qrud 	WG1 	WG2 	WG3 	WG4 	x_0WM 	
s 	m 	m 	° 	m/s 	m/s 	mm 	mm/m 	° 	mm 	mm 	rps 	N 	Nmm 	° 	N 	N 	Nmm 	mm 	mm 	mm 	mm 	mm 	
2.1250	9.9979	0.0001	0.0000	0.0000	-0.0000	-0.2967	0.4813	-0.5161	-1.2545	0.6612	0.0073	-0.0577	1.0615	-0.0020	-0.0301	-0.0105	-0.2329	0.4416	0.4963	0.7493	-0.0332	-0.6613
2.1500	9.9979	0.0001	0.0000	0.0000	-0.0000	1.0297	-0.3003	0.6205	1.6272	0.4322	-0.0164	-0.0297	0.7962	0.0423	0.0312	0.0093	-0.1512	0.4060	-0.1058	-0.5726	-0.2876	0.4578
2.1750	9.9979	0.0001	0.0000	0.0000	-0.0000	-0.1113	0.3251	-0.3889	-0.7582	0.5356	0.0055	0.0414	-0.2398	0.0239	0.0221	0.0185	0.0669	-0.9880	-0.5136	0.1765	-0.0049	0.3786
2.2000	9.9979	0.0001	0.0000	0.0000	-0.0000	-0.5211	0.0135	0.8789	-0.5480	-0.4943	0.0091	0.0385	-0.2651	-0.0265	-0.0155	-0.0149	-0.2002	0.8500	0.6614	0.6661	0.5323	0.9148
2.2250	9.9979	0.0001	0.0000	0.0000	-0.0000	-0.1389	1.1482	-0.7466	-2.4238	2.1461	-0.0110	0.0163	-1.3390	-0.0188	-0.0132	0.0134	0.4102	1.3473	-0.8535	-0.5089	0.2024	-0.0178
2.2500	9.9979	0.0001	0.0000	0.0040	-0.0000	-0.0772	0.0786	-0.6989	-0.2336	0.0791	-0.0098	0.0292	-0.0376	-0.1013	0.0286	0.0093	0.2086	-0.1889	-0.5330	0.1863	0.2307	0.0148
2.2750	9.9980	0.0001	0.0000	0.0000	-0.0000	0.3213	0.4693	0.1754	-0.6127	1.2553	0.0012	0.0257	1.4911	0.0300	0.0017	0.0182	0.0778	0.2640	-0.0961	0.0982	0.1035	0.5651
2.3000	9.9980	0.0001	0.0000	-0.0040	-0.0000	0.4233	-0.7315	-0.3293	1.8790	-1.0324	0.0122	-0.0215	0.6952	0.0362	-0.0294	0.0345	0.2958	-0.1978	0.0982	-0.4698	0.7679	1.2319
2.3250	9.9979	0.0001	0.0000	0.0000	-0.0000	-0.3611	0.5944	0.9663	-1.5440	0.8218	-0.0158	-0.0315	0.2151	0.0759	0.0335	0.0240	0.3939	-1.2544	0.5109	0.0002	0.2260	-0.4142
2.3500	9.9979	0.0001	0.0000	0.0040	-0.0000	0.5520	-0.3631	-0.3770	1.2745	-0.1706	0.0030	-0.0507	-0.4798	0.0423	0.0137	0.0169	0.5574	0.2285	-0.2514	0.4849	-0.4479	0.2200
