time 	x0 	y0 	psi 	u 	v 	WG1 	WG2 	WG3 	WG4 	x_0WM 	
s 	m 	m 	° 	m/s 	m/s 	mm 	mm 	mm 	mm 	mm 	
4.8750	14.9979	0.0001	0.0000	0.0000	-0.0000	0.0781	0.4669	0.5403	-0.4021	-0.3718
4.9000	14.9979	0.0001	0.0000	0.0000	-0.0000	0.8773	0.0396	0.5599	0.1021	0.3836
4.9250	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.1439	-0.1400	-0.0130	-0.0911	0.8546
4.9500	14.9979	0.0001	0.0000	0.0000	-0.0000	0.2468	-0.6596	-0.1794	0.3000	-0.7495
4.9750	14.9979	0.0001	0.0000	0.0000	-0.0000	1.0282	-0.7275	-0.1843	0.5544	0.9665
5.0000	14.9979	0.0001	0.0000	0.0000	-0.0000	0.1225	-0.0381	-0.3997	-0.0817	0.2810
5.0250	14.9979	0.0001	0.0000	0.0000	-0.0000	0.6198	0.5883	-0.1794	-0.8168	-1.3044
5.0500	14.9979	0.0001	0.0000	0.0000	-0.0000	0.6731	-0.7033	-0.2382	-0.3173	0.4116
5.0750	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.7743	0.5349	-0.1354	-1.3069	-0.3391
5.1000	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.2859	0.4814	0.0360	-0.3597	-0.1526
5.1250	14.9979	0.0001	0.0000	0.0000	-0.0000	-1.2627	-0.1206	0.4179	0.8419	0.1132
5.1500	14.9979	0.0001	0.0000	0.0000	-0.0000	1.6143	-0.1060	0.5550	0.3707	0.1878
5.1750	14.9979	0.0001	0.0000	0.0000	-0.0000	0.1314	0.5349	0.1437	-0.1807	-1.0619
5.2000	14.9979	0.0001	0.0000	0.0000	-0.0000	-1.2271	0.1707	-0.2333	-1.1420	0.5049
5.2250	14.9979	0.0001	0.0000	0.0000	-0.0000	0.2202	-0.0769	-0.3801	0.4696	-0.0360
5.2500	14.9979	0.0001	0.0000	0.0000	-0.0000	-1.6445	-0.5867	-0.1598	0.1303	-0.3158
5.2750	14.9979	0.0001	0.0000	0.0000	-0.0000	-1.0495	-0.9606	0.3151	-0.2561	-0.0454
