time 	x0 	y0 	psi 	u 	WG1 	WG2 	WG3 	WG4 	x_0AW 	
s 	m 	m 	° 	m/s 	mm 	mm 	mm 	mm 	mm 	
5.1500	3.9989	0.0001	0.0000	0.0000	-0.9588	-0.6184	-0.3070	0.2644	-2.0868
5.1750	3.9989	0.0001	0.0000	0.0000	0.7016	0.0711	0.4274	0.0571	0.7576
5.2000	3.9989	0.0001	0.0000	0.0000	-0.8079	-0.1086	0.2316	0.2974	1.1773
5.2250	3.9989	0.0001	0.0000	0.0000	-1.8379	0.8819	-0.2188	0.2880	-0.6739
5.2500	3.9989	0.0001	0.0000	0.0000	1.3498	-0.4969	0.5743	0.5330	-0.4874
5.2750	3.9989	0.0001	0.0000	0.0000	1.8204	0.7606	0.0113	0.7733	-0.7066
5.3000	3.9989	0.0001	0.0000	0.0000	-1.1275	0.8480	0.1582	-0.8336	1.2799
5.3250	3.9989	0.0001	0.0000	0.0000	-0.2663	-0.5407	0.7164	-0.4660	0.1421
5.3500	3.9989	0.0001	0.0000	0.0000	0.1245	-0.7786	-0.4391	0.0335	0.3147
5.3750	3.9989	0.0001	0.0000	0.0000	-0.7546	-0.7009	-0.0768	-0.6403	-0.2589
5.4000	3.9989	0.0001	0.0000	0.0000	0.7460	0.0856	0.2219	0.5802	0.2074
5.4250	3.9989	0.0001	0.0000	0.0000	-0.8256	-0.1474	0.1680	-0.3105	2.9493
5.4500	3.9989	0.0001	0.0000	0.0000	0.2043	0.5033	0.0750	0.6320	0.2820
5.4750	3.9989	0.0001	0.0000	0.0000	-1.1542	0.2168	-0.5811	0.3775	-0.0304
5.5000	3.9989	0.0001	0.0000	0.0000	-0.0443	0.5858	-0.1062	-0.9325	0.7017
5.5250	3.9989	0.0001	0.0000	0.0000	0.5152	0.5955	0.1484	0.7686	-0.4175
5.5500	3.9989	0.0001	0.0000	0.0000	-0.8878	-0.0989	-0.4783	0.6414	-1.2055
5.5750	3.9989	0.0001	0.0000	0.0000	0.3997	-0.2153	-0.0963	0.6555	0.6737
5.6000	3.9989	0.0001	0.0000	0.0000	-0.9677	0.3721	-0.4342	-0.1031	0.5665
5.6250	3.9989	0.0001	0.0000	0.0000	-1.2607	0.8528	-0.5272	-0.2634	-1.4713
5.6500	3.9989	0.0001	0.0000	0.0000	-0.3995	-0.4582	0.8437	0.5377	0.1608
5.6750	3.9989	0.0001	0.0000	0.0000	1.1367	-0.0212	-0.2432	-0.0654	0.0349
5.7000	3.9989	0.0001	0.0000	0.0000	0.0356	-0.1086	-0.6594	0.3681	0.2494
5.7250	3.9989	0.0001	0.0000	0.0000	-1.4560	0.0566	0.0113	-0.2822	-0.0304
5.7500	3.9989	0.0001	0.0000	0.0000	-0.3639	-0.0891	0.7555	-0.8948	-0.7532
5.7750	3.9989	0.0001	0.0000	0.0000	0.7193	-0.0697	0.4274	-0.1738	-0.0910
5.8000	3.9989	0.0001	0.0000	0.0000	0.9502	0.5664	0.2268	-0.4283	1.8721
5.8250	3.9989	0.0001	0.0000	0.0000	1.3498	-0.7737	-0.2188	-0.3529	-0.4967
5.8500	3.9989	0.0001	0.0000	0.0000	0.8170	-0.4241	-0.1649	-0.7393	0.7623
5.8750	3.9989	0.0001	0.0000	0.0000	-0.8079	-0.2445	0.2268	-0.2681	0.7343
5.9000	3.9989	0.0001	0.0000	0.0000	-1.2430	0.4449	-0.0622	-0.0325	-0.2263
5.9250	3.9989	0.0001	0.0000	0.0000	0.9769	-0.2105	-0.4489	-0.1597	0.1048
5.9500	3.9989	0.0001	0.0000	0.0000	1.1101	0.0274	-0.4489	0.2691	-0.6972
5.9750	3.9989	0.0001	0.0000	0.0000	0.4264	-0.6814	-0.2971	-0.0419	-0.1983
6.0000	3.9989	0.0001	0.0000	0.0000	0.3553	0.3139	-0.6448	0.3445	0.1981
6.0250	3.9989	0.0001	0.0000	0.0000	-1.3673	0.8722	-0.0180	-0.6027	-0.4687
6.0500	3.9989	0.0001	0.0000	0.0000	-0.3995	0.4110	0.4911	-0.1691	1.8675
6.0750	3.9989	0.0001	0.0000	0.0000	-0.6658	-0.6135	-0.3706	-0.6686	-0.9071
6.1000	3.9989	0.0001	0.0000	0.0000	1.9004	-0.1134	-0.0279	-0.1738	0.3333
6.1250	3.9989	0.0001	0.0000	0.0000	0.7460	0.0226	-0.5272	0.3681	-0.1330
6.1500	3.9989	0.0001	0.0000	0.0000	0.3819	0.3770	0.2365	-0.4802	0.7810
6.1750	3.9989	0.0001	0.0000	0.0000	0.7193	-0.4776	0.8534	-0.1927	0.8835
6.2000	3.9989	0.0001	0.0000	0.0000	1.8559	0.9644	-0.0132	0.0618	-0.5620
6.2250	3.9989	0.0001	0.0000	0.0000	-0.0531	0.0469	-0.0866	-0.0560	-0.6646
6.2500	3.9989	0.0001	0.0000	0.0000	-2.3085	0.0177	0.7848	0.3964	1.2100
6.2750	3.9989	0.0001	0.0000	0.0000	-1.0654	0.2314	-0.5615	0.1513	0.3613
6.3000	3.9989	0.0001	0.0000	0.0000	-1.6603	-0.2493	-0.2775	0.1089	0.2773
6.3250	3.9989	0.0001	0.0000	0.0000	-0.0620	0.2217	0.1925	0.4953	-0.7439
6.3500	3.9989	0.0001	0.0000	0.0000	1.4208	-0.1765	0.0799	-0.0654	0.0255
