# time 	x0 	y0 	psi 	u 	heave 	trim 	roll 	z_VF 	z_VA 	X 	Y 	N 	WG1 	WG2 	WG3 	WG4 	
# s 	m 	m 	deg 	m/s 	mm 	mm/m 	Nm 	mm 	mm 	N 	N 	Nm 	mm 	mm 	mm 	mm 	
5.5000	0.0025	-0.0001	0.0000	0.0000	-0.0074	0.0654	0.0388	-0.1375	0.1227	-0.3351	-1.2159	-0.9252	-1.3348	0.6321	-0.5284	-0.7992
5.5500	0.0025	-0.0001	0.0000	0.0000	0.0025	-0.0024	0.0126	0.0072	-0.0022	0.2785	-0.0902	-0.8822	1.0182	0.2146	-0.2151	-0.2243
5.6000	0.0025	-0.0001	0.0000	0.0000	-0.0036	0.0047	0.0279	-0.0129	0.0057	0.1322	-0.0378	1.2212	0.3523	0.0689	-0.3032	1.0480
5.6500	0.0025	-0.0001	0.0000	0.0000	-0.0681	-0.0135	0.0262	-0.0413	-0.0949	-0.0926	0.4039	-0.3945	-1.5301	-0.9458	0.0689	-0.0829
5.7000	0.0025	-0.0001	0.0000	0.0000	0.0152	-0.0096	-0.0295	0.0343	-0.0038	-0.1568	0.2473	1.5308	0.2990	-0.3243	0.4313	0.3789
5.7500	0.0025	-0.0001	0.0000	0.0000	0.0548	0.0220	-0.0257	0.0109	0.0986	-0.2352	0.1101	-0.8531	1.5865	-0.4555	0.2648	-0.0406
5.8000	0.0025	-0.0001	0.0000	0.0000	-0.0482	-0.0113	0.0099	-0.0258	-0.0706	-0.3494	-0.2165	1.3539	0.4499	0.3117	0.1815	-0.2007
5.8500	0.0025	-0.0001	0.0000	0.0000	-0.0047	0.0394	0.0432	-0.0831	0.0738	0.1679	1.5354	-0.1207	-0.4025	0.0009	-0.2444	-0.0311
5.9000	0.0025	-0.0001	0.0000	0.0000	-0.0432	0.0248	-0.0481	-0.0924	0.0061	-0.2851	-1.8130	-0.3060	1.6664	0.0058	0.5634	0.6286
5.9500	0.0025	-0.0001	0.0000	0.0000	-0.0251	0.0426	0.0224	-0.1099	0.0596	0.0216	-0.1284	-0.9478	1.1248	-0.4991	-0.9886	0.0113
6.0000	0.0025	-0.0001	0.0000	0.0000	-0.0377	-0.0248	0.0333	0.0116	-0.0870	0.1072	-0.7491	-0.0148	0.6187	0.1806	0.4949	0.1950
6.0500	0.0025	-0.0001	0.0000	0.0000	0.0061	0.0132	-0.0278	-0.0202	0.0323	-0.4493	1.6755	0.5233	-1.5035	0.5739	-0.0486	-0.0688
6.1000	0.0025	-0.0001	0.0000	0.0000	0.0710	0.0159	0.0159	0.0394	0.1026	-0.1282	-1.0401	-0.5550	1.6132	0.2582	-0.1465	-0.5212
6.1500	0.0025	-0.0001	0.0000	0.0000	0.0455	0.0340	-0.0153	-0.0223	0.1132	-0.3316	0.7460	0.2242	0.5476	-0.6060	0.2501	0.3977
6.2000	0.0025	-0.0001	0.0000	0.0000	-0.0494	0.0415	0.0060	-0.1320	0.0332	0.0038	0.6154	0.9385	1.4090	-0.3438	-0.3374	0.1950
6.2500	0.0025	-0.0001	0.0000	0.0000	-0.0673	0.0153	0.0213	-0.0977	-0.0370	-0.3101	0.5241	0.0334	-0.8997	-0.2079	-0.1122	0.0961
6.3000	0.0025	-0.0001	0.0000	0.0000	-0.0180	0.0331	-0.0360	-0.0839	0.0478	0.2928	-0.3597	-0.0239	-1.2371	0.4573	-0.0584	-0.4128
6.3500	0.0025	-0.0001	0.0000	0.0000	0.0518	0.0468	0.0060	-0.0413	0.1449	-0.1318	-0.2273	-0.7927	-0.1272	-0.1544	0.4802	0.3506
6.4000	0.0025	-0.0001	0.0000	0.0000	0.0231	-0.0192	0.0208	0.0613	-0.0150	-0.3636	-0.6362	-0.1845	-1.6633	0.5253	-0.1856	-0.1254
6.4500	0.0025	-0.0001	0.0000	0.0000	-0.0491	-0.0342	-0.0333	0.0190	-0.1172	0.2928	-0.9166	-1.0514	0.0415	-0.4847	-0.0143	0.3459
6.5000	0.0025	-0.0001	0.0000	0.0000	0.0104	-0.0316	0.0273	0.0734	-0.0525	0.7208	-1.5323	-1.0970	0.7253	0.1368	-0.3277	-0.4599
6.5500	0.0025	-0.0001	0.0000	0.0000	0.0093	-0.0568	0.0120	0.1222	-0.1037	-0.8667	0.1653	-0.4894	-0.5445	-0.3341	0.3920	-0.5730
