time 	x0 	y0 	psi 	u 	heave 	trim 	roll 	z_VF 	z_VA 	X 	Y 	N 	WG1 	WG2 	WG3 	WG4 	
s 	m 	m 	� 	m/s 	mm 	mm/m 	Nm 	mm 	mm 	N 	N 	Nm 	mm 	mm 	mm 	mm 	
4.5500	0.0041	-0.0001	0.0100	0.0000	-0.0510	-0.0351	-0.0458	0.0188	-0.1208	-0.4202	-0.1593	0.9939	1.4744	-0.2744	0.1182	0.4423
4.6000	0.0041	-0.0001	0.0100	0.0000	0.0126	-0.0049	-0.0573	0.0223	0.0029	0.2683	-0.9090	0.1134	0.3911	-0.1481	0.7253	-0.2222
4.6500	0.0041	-0.0001	0.0100	0.0000	0.0049	-0.0765	-0.0513	0.1572	-0.1474	-0.1633	-0.0316	-0.8754	-1.7311	-0.1384	0.9800	0.1830
4.7000	0.0041	-0.0001	0.0100	0.0000	0.0016	0.0524	-0.0595	-0.1026	0.1058	0.4788	-0.1054	-0.6673	-0.4436	-0.4879	-0.5623	-0.9431
4.7500	0.0041	-0.0001	0.0100	0.0000	-0.0167	0.0263	0.0443	-0.0690	0.0355	-0.5379	-1.3368	-0.7585	1.8739	0.1384	-0.6210	0.2491
4.8000	0.0041	-0.0001	0.0100	0.0000	-0.0103	0.0159	0.0449	-0.0420	0.0214	0.4681	-0.0397	1.0277	-0.2926	0.1335	0.0595	0.2961
4.8500	0.0041	-0.0001	0.0100	0.0000	-0.0110	0.0543	0.0296	-0.1191	0.0970	-0.0670	1.1004	0.2138	-0.2926	-0.3035	0.0105	0.0323
4.9000	0.0041	-0.0001	0.0100	0.0000	0.0175	0.0085	0.0143	0.0006	0.0344	-0.0207	-0.3004	-0.8597	-0.7810	0.2015	-0.0678	0.0558
4.9500	0.0041	-0.0001	0.0100	0.0000	0.0597	-0.0100	0.0296	0.0795	0.0399	0.0436	-0.0515	0.5663	0.4177	-0.2744	0.1231	-0.7405
5.0000	0.0041	-0.0001	0.0100	0.0000	-0.0052	-0.0101	0.0274	0.0149	-0.0253	-0.0171	-0.4167	0.6556	0.2401	-0.5122	-0.4741	0.0889
5.0500	0.0041	-0.0001	0.0100	0.0000	-0.0263	-0.0442	-0.0163	0.0616	-0.1142	-0.2632	-0.1332	-0.6384	-0.5679	0.1092	0.0742	0.7014
5.1000	0.0041	-0.0001	0.0100	0.0000	0.0084	0.0058	0.0230	-0.0032	0.0200	0.2577	-0.5566	-1.6465	-0.4347	0.6239	-0.1804	-0.4342
5.1500	0.0041	-0.0001	0.0100	0.0000	-0.0417	-0.0227	-0.0038	0.0034	-0.0868	-0.2953	0.7707	0.4504	0.8084	0.0801	-0.1413	-0.0526
5.2000	0.0041	-0.0001	0.0100	0.0000	-0.0311	0.0655	-0.0376	-0.1614	0.0991	0.3183	0.7190	1.2145	0.0714	0.2937	-0.1314	0.0040
5.2500	0.0041	-0.0001	0.0100	0.0000	0.0024	0.0470	-0.0475	-0.0911	0.0959	-0.0028	-0.9696	-0.0868	0.1425	0.1092	0.5001	0.6213
5.3000	0.0041	-0.0001	0.0100	0.0000	0.0185	-0.0528	-0.0475	0.1235	-0.0866	-0.1847	0.8177	0.2438	-0.3547	0.6676	0.2700	0.6732
5.3500	0.0041	-0.0001	0.0100	0.0000	0.0302	-0.0003	-0.0027	0.0308	0.0297	0.4039	-0.3397	-1.7136	-1.4203	-0.4054	0.2113	-0.1185
5.4000	0.0041	-0.0001	0.0100	0.0000	0.0080	-0.0107	0.0388	0.0292	-0.0132	-0.3024	-0.6942	-0.7145	-0.6833	0.2597	0.6373	-0.3211
5.4500	0.0041	-0.0001	0.0100	0.0000	0.0116	-0.0070	0.0356	0.0255	-0.0024	0.4288	-1.1959	-0.1416	-0.5324	-0.3423	-0.3273	-0.4389
5.5000	0.0041	-0.0001	0.0100	0.0000	0.0083	-0.0448	0.0296	0.0973	-0.0808	0.1364	-0.8928	-0.7980	-1.7133	0.1238	-0.1853	0.1030
5.5500	0.0041	-0.0001	0.0100	0.0000	-0.0037	0.0044	0.0164	-0.0125	0.0051	0.8284	1.2783	0.1082	0.6131	0.4880	0.3630	-0.1467
5.6000	0.0041	-0.0001	0.0100	0.0000	0.0050	0.0429	0.0208	-0.0803	0.0903	0.2041	0.7164	1.2961	-0.2838	0.0121	-0.0041	0.5129
5.6500	0.0041	-0.0001	0.0100	0.0000	0.0628	0.0347	0.0372	-0.0063	0.1319	-0.1776	-1.1838	-0.1015	0.8173	-0.4637	0.5099	-1.0374
